date,1398 HK Equity,700 HK Equity,16 HK Equity,857 HK Equity,1 HK Equity,1928 HK Equity,3 HK Equity,2018 HK Equity,914 HK Equity,1099 HK Equity,2319 HK Equity
2025/8/17,5.96,328.4,125.2,5,101.7,34.6,13.345,123.3,29.05,34,17.08
2025/9/13,5.61,81.92,105.6,8.68,68.661,48.6,11.499,37.8,26.05,18.88,17.8
2025/9/14,5.02,117.9,116.9,10.4,78.108,41.3,11.953,46.3,25.95,28.9,16.95
2025/9/15,4.53,131,102.5,5.55,100.8,26.75,11.074,47.85,23.75,28,13.65
2025/9/17,5.71,341.6,126.2,4.83,99.3,38.95,13.327,127.5,31.7,34.5,19.98
2025/10/13,5.14,85.24,100.5,8.72,68.949,57.35,11.177,33.55,25.35,20.9,17.8
2025/10/16,4.79,214.8,115.9,5.64,98.5,35.05,12.43,74.4,22.2,37.6,15.36
2025/10/17,6.16,352,130.2,4.97,100.1,37.75,13.418,135.7,34.5,34.95,21.2
2025/11/13,5.52,87.6,99.05,9.32,70.562,56.95,11.276,33,28.8,22.85,17.575
2025/11/14,5.09,124.7,114.8,8.77,82.716,46.55,12.854,45.05,25.45,28.7,15.625
2025/11/15,4.75,156.4,98.35,5.73,103.6,26.75,11.675,55,21.95,32.7,13.06
2025/11/16,4.67,193,100.9,5.36,95.1,38,11.95,70.5,23.05,35.25,16.32
2025/12/13,5.26,93.84,97.5,8.54,69.928,62.45,10.978,37.6,29.7,22.5,18
2025/12/14,5.46,112.7,117,8.63,74.882,38.5,12.007,40.95,26.55,27.5,15.65
2025/12/15,4.8,151.8,95,5.38,104.7,26.75,11.27,50.3,21.3,32.2,12.72
2025/12/17,6.28,405.8,127,5.49,96.6,39.7,13.836,142.5,35.85,33.25,23.5
2026/1/15,5.83,137,126.1,8.83,83.753,39,12.076,47.85,27.3,29.55,17.3
2026/1/16,3.85,141.8,80.7,4.37,93.05,23.05,9.992,50.45,15.38,27.35,10.66
2026/1/17,4.8,205,107.1,6.3,92.3,35.1,12.033,80.9,25.35,35.7,14.78
2026/2/13,5.41,53.4,117.3,10.58,68.258,35.55,12.136,31.05,27.15,24.45,10.65
2026/2/14,4.59,117.2,98.65,8,68.085,63.75,10.27,33.85,28.45,21.7,19.4
2026/2/15,5.71,135.6,123.6,9.02,88.13,34.6,11.98,52.1,26.55,27.35,17.7
2026/2/16,3.87,142.7,88,5.17,95.1,26.95,10.473,53.55,15.58,28.85,11.4
2026/3/13,5.41,49.68,105.2,10.18,65.205,39.9,12.644,33.5,26.1,26.05,10.575
2026/3/14,4.63,110.8,93.3,8.36,73.039,58.9,10.282,37,31.8,21.3,19.3
2026/3/15,5.57,140.8,119.4,8.35,89.973,32.5,12.144,46.3,27.8,29.75,19.35
2026/4/13,5.41,51.8,113.9,9.88,67.451,42.65,13.18,37.35,27.8,22.85,10.825
2026/4/16,4.23,161.8,99.1,5.62,95.4,28.55,11.014,55.05,20.55,33.55,13.4
2026/4/17,5.14,241.6,116.8,5.52,96.9,36.85,12.777,106.6,27.7,35.1,14.94
2026/5/14,4.97,111.4,102.2,9.39,77.128,58.75,11.599,44.4,27.4,20.9,19.5
2026/5/15,6.95,158.8,136.4,9.64,95.1,31.9,12.772,45.55,32.85,40.15,22.375
2026/5/16,4.02,163.8,88.65,5.35,89.6,29.05,10.984,58.85,18.78,35.2,12.88
2026/5/17,5.19,278,114.8,5.29,101.9,34.9,13.223,82.6,25.7,35.55,15.76
2026/6/13,4.7,58.08,98.75,7.96,59.157,36.05,11.636,40.85,20.55,19.18,13.475
2026/6/14,4.9,118.4,105.7,9.82,78.972,57.2,11.529,51.7,27,21,17.875
2026/6/15,6.6,159.9,126.5,8.75,114.2,27.95,12.081,42.5,27.5,33.8,19.575
2026/6/17,5.25,284,116.5,4.87,98.9,36.1,13.564,97.55,26,36.2,15.22
2026/7/13,5.11,69.48,103.4,9.24,63.304,40.5,12.381,36.6,23.75,21.6,15.625
2026/7/16,4.41,186.3,110.6,5.28,90.3,30.05,12.066,69.15,21.15,37.65,13.06
2026/7/17,5.47,301,117.8,5.05,101.5,36.05,13.4,103.5,28.25,34.25,15.66
2026/8/13,5.19,71.36,100.4,8.65,62.728,43.45,11.475,35.3,26.75,20.75,15.625
2026/8/14,5.24,129.4,118.2,11.24,85.02,52.4,12.472,48,28.75,27.6,18.625
2026/8/15,4.59,128.6,96.6,6.29,100.3,26.45,10.999,40.7,21.6,26.75,14.9
2026/8/16,4.94,200.4,111,5.26,98.75,30.7,12.05,82,22.4,40.05,15.42
2026/9/13,5.58,81.8,105.8,8.66,69.122,48.75,11.537,37.35,25.8,19.32,17.425
2026/9/14,4.98,116.5,116.4,10.32,77.589,42.45,11.925,46.1,25.7,28.8,16.65
2026/9/16,4.85,213,116.7,4.98,99.2,32.3,12.132,77.6,21.4,37.75,14.54
2026/9/17,5.74,337.6,126,5,99.4,38.95,13.4,126.1,31.75,34.4,20.35
2026/10/15,5.13,149,106.6,6.19,106.5,28.8,12.006,49.55,24.6,30.75,15.12
2026/10/16,4.72,212.2,115.5,5.52,97.3,35.5,12.397,75.85,22.05,37.55,15.14
2026/10/17,6.14,347,129.2,4.95,99.95,37,13.436,136.3,33.65,34.85,21.75
2026/11/13,5.51,87.4,99.75,9.23,70.677,57.05,11.4,34,29,22.5,17.425
2026/11/14,5.17,125.7,114.7,8.76,82.946,46.9,12.854,46.25,25.9,29,15.65
2026/11/15,4.78,155.7,98.75,5.75,102.9,26.5,11.705,55.35,21.9,32.5,12.76
2026/12/13,5.26,93.84,97.5,8.54,69.928,62.45,10.978,37.6,29.7,22.5,18
2026/12/14,5.46,112.7,117,8.63,74.882,38.5,12.007,40.95,26.55,27.5,15.65
2026/12/16,4.49,179.7,97.25,5.81,88.1,33.15,11.24,67.45,21.2,31.45,14.34
2026/12/17,6.28,405.8,127,5.49,96.6,39.7,13.836,142.5,35.85,33.25,23.5
2027/1/14,4.67,97.88,96.2,7.74,66.645,59.95,10.084,34.6,29.5,21.85,17.5
2027/1/15,5.73,136,126.3,8.7,83.061,40.15,12.185,48,26.75,28.65,17.25
2027/1/16,3.87,140.5,80.35,4.51,93.15,24.55,9.947,50.45,15.08,26.9,10.6
2027/1/17,4.78,204.4,107.4,6.22,93.45,34.5,12.116,80,25.15,35.6,14.58
2027/2/13,5.4,52.84,119,10.56,68.719,36.3,12.136,31.5,27.4,24.5,10.65
2027/2/14,4.68,123.3,99.15,8.15,69.41,65.35,10.456,34.3,28.6,21.65,19.575
2027/2/15,5.66,135.9,121.6,9,88.418,35.4,11.953,51.35,26.35,27.15,17.5
2027/2/17,5.08,210.2,114.7,6.02,96.3,32.05,12.397,84.15,26.7,36,15.44
2027/3/13,5.45,50.12,105.6,10.24,65.493,40.8,12.672,36.25,26.55,27,11
2027/3/14,4.62,104.3,93.05,8.42,73.787,56.55,10.481,39.05,31.75,20.95,19.575
2027/3/15,5.5,141.9,120.3,8.34,90.607,32.3,12.171,45,28.55,29.6,19.25
