date,1398 HK Equity,700 HK Equity,16 HK Equity,857 HK Equity,1 HK Equity,1928 HK Equity,3 HK Equity,2018 HK Equity,914 HK Equity,1099 HK Equity,2319 HK Equity
2016-08-13,5.31,73.32,104.8,9.04,66.357,44.55,12.512,38.35,26.75,20.8,15.85
2016-08-16,4.85,195.4,108.4,5.39,97.8,31.65,12.065999999999999,79.3,21.65,41.2,13.34
2016-08-17,5.65,323.2,123.1,4.87,101.8,35.05,13.509,115.2,28.0,32.9,17.1
2016-09-13,5.54,84.24,102.6,8.82,66.414,47.75,11.4,36.1,26.95,18.98,17.075
2016-09-14,5.09,121.0,118.3,10.32,79.317,44.2,11.966,46.2,27.2,27.3,18.175
2016-09-15,4.84,135.4,102.9,5.83,106.0,26.8,11.45,47.1,24.25,28.15,13.275
2016-09-16,4.82,209.8,115.2,4.96,99.85,35.95,12.116,83.0,21.6,37.3,14.74
2016-10-13,5.53,84.28,103.1,9.08,70.21600000000001,53.4,11.35,32.9,26.95,21.55,17.725
2016-10-14,4.88,113.0,113.4,9.29,74.479,42.55,12.212,42.55,24.6,28.45,16.325
2016-10-15,5.04,146.6,106.3,6.5,107.5,30.55,11.555,46.55,25.15,28.75,14.56
2016-10-17,6.41,355.6,133.2,5.04,100.6,37.6,13.509,142.7,31.4,35.7,21.85
2016-11-15,4.7,149.1,96.75,5.48,101.0,27.3,11.615,54.75,22.3,32.75,13.32
2016-11-16,4.48,196.9,100.0,5.21,93.5,34.55,11.835,70.1,22.05,35.45,15.04
2016-11-17,6.06,391.8,125.6,5.24,98.05,36.35,13.436,173.5,33.65,31.55,20.8
2016-12-13,5.29,94.6,96.85,8.65,69.64,63.7,11.09,35.9,29.4,23.3,17.375
2016-12-14,5.21,108.0,110.9,8.06,73.442,40.45,11.83,40.65,26.9,26.85,14.4
2016-12-15,4.58,151.8,94.25,5.3,102.4,25.4,11.18,51.4,20.55,30.8,12.96
2016-12-16,4.57,183.9,99.45,5.88,90.0,33.0,11.405,68.65,22.2,32.45,15.0
2017-01-13,5.84,53.48,126.0,10.92,75.688,36.6,11.995,29.55,27.8,24.9,12.05
2017-01-14,4.88,105.8,98.5,8.1,69.986,64.95,10.68,35.55,30.6,22.95,18.65
2017-01-17,4.74,197.7,105.8,6.24,90.4,34.4,12.0,76.2,23.0,36.3,14.36
2017-02-14,4.86,116.0,97.3,7.94,67.221,57.5,10.033999999999999,35.4,30.45,22.35,19.75
2017-02-15,5.68,130.8,123.3,8.71,87.439,39.1,11.870999999999999,49.05,26.45,27.3,18.375
2017-02-16,3.92,138.2,84.05,4.82,95.05,26.05,10.353,49.95,15.46,27.15,11.7
2017-02-17,5.06,212.2,108.1,6.04,93.3,32.3,12.347000000000001,87.25,26.45,36.2,15.08
2017-03-14,4.42,109.3,91.55,7.69,69.986,62.25,10.146,32.7,27.75,21.1,18.725
2017-03-15,5.59,133.8,116.0,8.13,86.45100000000001,29.95,11.815999999999999,54.0,26.8,28.6,17.95
2017-03-16,4.32,152.3,95.55,5.42,98.85,29.4,10.759,53.85,19.08,31.4,10.82
2017-03-17,5.16,222.0,114.9,5.86,97.1,35.1,12.463,86.15,28.2,37.4,15.76
2017-04-13,5.08,50.0,108.1,9.36,65.493,37.85,12.729000000000001,38.2,27.35,24.4,11.275
2017-04-14,4.81,105.1,99.7,8.78,78.85600000000001,61.1,11.077,41.9,30.85,20.55,20.475
2017-04-15,6.79,158.8,125.8,10.62,94.75399999999999,34.0,12.841,50.55,31.2,37.5,20.55
2017-04-17,5.02,230.6,119.3,5.69,94.8,37.25,13.040999999999999,95.5,28.4,35.8,15.06
2017-05-13,5.56,58.44,109.8,9.81,66.702,40.6,13.152000000000001,44.0,27.0,23.35,12.25
2017-05-16,3.9,162.9,88.35,5.42,91.95,27.65,10.849,60.65,18.48,34.25,12.54
2017-05-17,5.13,259.8,116.1,5.35,100.8,34.15,12.975,91.55,25.7,34.45,15.36
2017-06-13,4.83,60.2,100.1,8.52,62.555,38.95,11.959000000000001,41.45,21.95,20.45,13.425
2017-06-14,4.94,115.6,106.7,9.55,77.244,53.1,11.515999999999998,51.8,27.25,21.35,17.925
2017-06-15,6.43,154.3,126.3,8.63,113.6,29.5,11.915999999999999,41.95,29.55,36.4,20.575
2017-06-16,4.11,168.9,87.35,5.19,88.7,25.95,10.959000000000001,65.6,17.7,35.3,13.08
2017-07-13,4.93,66.0,102.4,9.19,61.23,39.45,11.995999999999999,36.05,23.4,19.12,15.2
2017-07-14,4.97,123.5,106.0,10.16,80.181,55.75,11.543,49.4,28.7,23.95,18.725
2017-07-15,5.69,153.6,124.5,8.01,115.1,32.15,11.901,43.7,25.4,31.5,19.1
2017-07-17,5.29,285.0,119.0,4.88,100.3,34.8,13.527000000000001,108.4,27.7,34.65,15.22
2017-08-15,5.17,142.0,109.0,7.2,113.1,33.55,11.765999999999998,41.9,26.9,31.0,16.825
2017-08-16,4.88,193.0,109.2,5.38,98.4,31.8,12.017000000000001,79.5,21.6,39.45,13.24
2017-08-17,5.6,329.4,122.6,4.82,101.2,35.35,13.564,113.5,28.1,32.6,16.78
2017-09-13,5.54,83.76,102.6,8.76,67.048,47.65,11.425,36.8,26.2,18.9,17.175
2017-09-14,5.19,124.0,117.7,10.72,79.14399999999999,42.5,12.089,45.3,27.05,28.05,18.075
2017-09-15,4.8,134.3,101.8,5.85,103.7,26.95,11.225,48.85,24.4,28.55,13.6
2017-10-13,5.44,84.04,102.1,8.98,70.965,53.1,11.251,33.35,26.95,21.3,17.9
2017-10-14,4.92,112.7,113.4,9.38,75.458,44.5,12.089,43.0,24.5,28.55,16.2
2017-10-16,4.68,208.8,113.4,5.31,96.45,33.85,12.182,76.8,20.5,37.9,14.44
2017-10-17,6.35,354.8,133.2,5.05,100.8,37.45,13.509,146.4,31.3,34.85,21.55
2017-11-14,5.05,129.1,115.1,8.63,80.354,47.35,12.786,43.0,24.85,32.05,15.55
2017-11-15,4.75,151.2,97.85,5.59,102.0,28.0,11.66,55.05,22.4,32.65,13.72
2017-11-16,4.46,194.8,101.0,5.18,93.6,36.35,11.95,72.05,22.05,34.85,14.98
2017-11-17,6.19,403.4,126.0,5.2,98.25,36.25,13.455,173.3,35.05,31.5,20.5
2017-12-13,5.27,93.16,96.55,8.55,68.027,64.65,11.077,36.45,29.2,22.9,17.35
2017-12-14,5.31,105.3,110.6,8.25,72.52,37.95,11.707,40.2,26.55,26.4,13.8
2017-12-15,4.67,151.6,94.85,5.2,101.2,26.3,11.255,51.5,20.6,31.15,13.14
