ELEMENT,PT FOOT-NOTE,COORD1,COORD2,COORD3
117,7,28.94,6.056,0.7901
117,8,28.94,6.056,0.2117
118,1,31.06,8.943,2.793
118,2,31.06,8.943,2.215
118,3,33.94,8.943,2.792
118,4,33.94,8.943,2.214
118,5,31.06,6.056,2.793
118,6,31.06,6.056,2.215
118,7,33.94,6.056,2.792
118,8,33.94,6.056,2.214
119,1,31.06,8.943,1.792
119,2,31.06,8.943,1.213
119,3,33.94,8.943,1.791
119,4,33.94,8.943,1.213
119,5,31.06,6.056,1.792
119,6,31.06,6.056,1.213
119,7,33.94,6.056,1.791
119,8,33.94,6.056,1.213
120,1,31.06,8.943,0.79
120,2,31.06,8.943,0.2117
120,3,33.94,8.943,0.7897
120,4,33.94,8.943,0.2116
120,5,31.06,6.056,0.7899
120,6,31.06,6.057,0.2117
120,7,33.94,6.056,0.7896
120,8,33.94,6.057,0.2116
121,1,36.06,8.943,2.792
121,2,36.06,8.943,2.214
121,3,38.94,8.943,2.79
121,4,38.94,8.943,2.213
121,5,36.06,6.056,2.792
121,6,36.06,6.056,2.214
121,7,38.94,6.056,2.79
121,8,38.94,6.056,2.213
122,1,36.06,8.943,1.791
122,2,36.06,8.943,1.213
122,3,38.94,8.943,1.79
122,4,38.94,8.943,1.212
122,5,36.06,6.056,1.791
122,6,36.06,6.056,1.213
122,7,38.94,6.056,1.79
122,8,38.94,6.056,1.212
123,1,36.06,8.943,0.7896
123,2,36.06,8.943,0.2116
123,3,38.94,8.943,0.7891
123,4,38.94,8.943,0.2114
123,5,36.06,6.056,0.7895
123,6,36.06,6.057,0.2115
123,7,38.94,6.056,0.7891
123,8,38.94,6.057,0.2114
142,1,-38.94,13.94,2.79
142,2,-38.94,13.94,2.213
142,3,-36.06,13.94,2.792
142,4,-36.06,13.94,2.214
142,5,-38.94,11.06,2.79
142,6,-38.94,11.06,2.213
142,7,-36.06,11.06,2.792
142,8,-36.06,11.06,2.214
143,1,-38.94,13.94,1.79
143,2,-38.94,13.94,1.212
143,3,-36.06,13.94,1.791
143,4,-36.06,13.94,1.213
143,5,-38.94,11.06,1.79
143,6,-38.94,11.06,1.212
143,7,-36.06,11.06,1.791
143,8,-36.06,11.06,1.213
144,1,-38.94,13.94,0.7891
144,2,-38.94,13.94,0.2114
144,3,-36.06,13.94,0.7895
144,4,-36.06,13.94,0.2115
144,5,-38.94,11.06,0.7891
144,6,-38.94,11.06,0.2114
144,7,-36.06,11.06,0.7895
144,8,-36.06,11.06,0.2115
145,1,-33.94,13.94,2.792
145,2,-33.94,13.94,2.214
145,3,-31.06,13.94,2.793
145,4,-31.06,13.94,2.215
